name,race,gender,first_appearance,first_appearance_year,game_count,game_names,description_preview,auto_flag,flag_reason,keep_suggested,keep,tier
Gartan,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Gartan is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Gazpacho,Human,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Gazpacho is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
Genli,Rito,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Genli is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Gentari,Minish,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Gentari is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Georgio,Hylian,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Georgio is a character in Spirit Tracks. ,TRUE,minimal_description,review,review,
Gepper,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Gepper is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Giant,,,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Giant are characters in Twilight Princess. ,TRUE,no_race; minimal_description,review,review,
Giant Turtle,Turtle,Neuter,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,The Giant Turtle is a character in Majora's Mask. ,FALSE,,review,review,
Gillian,Hylian,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Gillian is a woman who lives on Windfall Island in The Wind Waker. ,FALSE,,review,review,
Gina,Ghini,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Gina is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Gleema,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Gleema is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Glendo,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Glendo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Glutko,,,Link: The Faces of Evil,1993,1,Link: The Faces of Evil,Glutko  is a location in The Faces of Evil. It is unlocked after completing Militron. ,TRUE,no_race,review,review,
Goflam,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Goflam is a character in Breath of the Wild. ,TRUE,no_race; minimal_description,review,review,
Golden Chief Cylos,Golden Frog,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Golden Chief Cylos is a character in Phantom Hourglass. ,FALSE,,review,review,
Goma Asaagh,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Goma Asaagh is a character in Breath of the Wild. ,FALSE,,review,review,
Gonguron,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Gonguron is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Gor Ebizo,Goron,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Gor Ebizo is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Gorae Torr,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Gorae Torr is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Goron Blood Brothers,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,The Goron Blood Brothers are a trio of Goron siblings in Breath of the Wild. ,TRUE,no_race,review,review,
Goron Digger,Goron,,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,The Goron Diggers are characters in The Minish Cap. ,FALSE,,review,review,
Goron Merchant,Goron,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Goron Merchant are recurring characters in The Legend of Zelda series. ,FALSE,,review,review,
Gotter,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Gotter is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Grandma,Hylian,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"Grandma, also known as Link's Grandma, is a character in The Wind Waker. ",FALSE,,review,review,
Grandma Yahoo,Human,Female,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,"Grandma Yahoo, also known as Grandma Ulrira, is a character in Link's Awakening. ",FALSE,,review,review,
Grapp,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Grapp is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Graveyard Boy,Hylian,Male,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,The Graveyard Boy is a character in Ocarina of Time. ,FALSE,,review,review,
Great Bay Giant,Guardian Deity,,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Great Bay Giant is a character in Majora's Mask. ,TRUE,minimal_description,review,review,
Great Butterfly Fairy,Fairy,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,The Great Butterfly Fairy is a character in The Minish Cap. ,FALSE,,review,review,
Great Dragonfly Fairy,Fairy,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,The Great Dragonfly Fairy is a character in The Minish Cap. ,FALSE,,review,review,
Great Fairy of Kindness,Great Fairy,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,The Great Fairy of Kindness is a character in Majora's Mask. ,FALSE,,review,review,
Great Mayfly Fairy,Fairy,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,The Great Mayfly Fairy is a character in The Minish Cap. ,FALSE,,review,review,
Great Rupee Fairy,Great Fairy,,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,Great Rupee Fairy is a character in A Link Between Worlds. ,FALSE,,review,review,
Gregal,Wind Tribe,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Gregal is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Greta,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Greta is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Greyson,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Greyson is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Grimbo,,Male,Zelda: The Wand of Gamelon,1993,1,Zelda: The Wand of Gamelon,Grimbo is a character in The Wand of Gamelon. He is a man who lives in Washubi Swamp. ,TRUE,no_race,review,review,
Grog,Hylian,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Grog is a character in Majora's Mask. ,TRUE,minimal_description,review,review,
Growler,,,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Growler is a character in The Minish Cap. ,TRUE,no_race; minimal_description,review,review,
Gruve,Zora,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Gruve is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Gummy,,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Gummy is a character in The Wind Waker. ,TRUE,no_race; minimal_description,review,review,
Gumo,Anouki,Unknown,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Gumo is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
Gustaf,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Gustaf is a character featured in The Minish Cap. ,FALSE,,review,review,
Guy,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Guy is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Gwonam,,Male,Link: The Faces of Evil,1993,1,Link: The Faces of Evil,Gwonam is a character in The Faces of Evil. ,TRUE,no_race; minimal_description,review,review,
Hailey,Wind Tribe,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Hailey is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Haite,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Haite is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Hamsha,,Female,Link: The Faces of Evil,1993,1,Link: The Faces of Evil,Hamsha is a character in The Faces of Evil. ,TRUE,no_race; minimal_description,review,review,
Hand,,,The Legend of Zelda: Oracle of Ages,2001,1,The Legend of Zelda: Oracle of Ages,The Hand is a character in Oracle of Ages. ,TRUE,no_race; minimal_description,review,review,
Harbanno,,Male,Zelda: The Wand of Gamelon,1993,1,Zelda: The Wand of Gamelon,"Harbanno is a character in The Wand of Gamelon. He is a baker from the town of Sakado, Gamelon.  ",TRUE,no_race,review,review,
Harth,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Harth is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Heehl,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Heehl is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Hena,Human,Female,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Hena is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Henhouse Keeper,Human,Male,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,"The Henhouse Keeper, also known as the Cucco Keeper, is a character in Link's Awakening. ",FALSE,,review,review,
Herb,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Herb is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Hero of Light,Human,,The Legend of Zelda: Four Swords Adventures,2004,1,The Legend of Zelda: Four Swords Adventures,The Hero of Light is a recurring title in The Legend of Zelda series. ,FALSE,,review,review,
Hestu,Korok,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Hestu is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Hia Miu,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Hia Miu is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Hintobo,Anouki,,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Hintobo is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
Hippo Model,Hippo,Female,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,The Hippo Model is a character in Link's Awakening. ,FALSE,,review,review,
Ho Ho Tribe,,,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,The Ho Ho Tribe are a group of seven treasure-seekers appearing in Phantom Hourglass. ,TRUE,no_race,review,review,
Hoiger Howgendoogen,,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Hoiger Howgendoogen is a character in Phantom Hourglass. ,TRUE,no_race,review,review,
Hollo,Korok,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Hollo is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Hooded Shopkeeper,,Female,The Legend of Zelda: A Link to the Past,1992,1,The Legend of Zelda: A Link to the Past,Hooded Shopkeepers are recurring characters in The Legend of Zelda series. ,TRUE,no_race,review,review,
Horned Statue,,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,The Horned Statue is a character in Breath of the Wild. ,TRUE,no_race,review,review,
Hoskit,Rito,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Hoskit is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Hot Rodder Goron,Goron,,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,"Hot Rodder Goron is a large, continuously rolling member of the Goron race in Ocarina of Time. ",FALSE,,review,review,
Hoz,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Hoz is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Hudson,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Hudson is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Hungry Girl,,Female,Zelda: The Wand of Gamelon,1993,1,Zelda: The Wand of Gamelon,"The Hungry Girl is a character in The Wand of Gamelon. She is a young woman living in Kobitan, Gamelon. ",TRUE,no_race,review,review,
Ichiro,,,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,Ichiro is a character in Ocarina of Time. ,TRUE,no_race; minimal_description,review,review,
Ilari,Rito,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Ilari is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Ilia,Human,Female,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Ilia is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Impaz,Sheikah,Female,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Impaz is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Inga,Human,Female,The Legend of Zelda: Oracle of Seasons,2001,1,The Legend of Zelda: Oracle of Seasons,"Inga, also known as Mrs. Ruul, is a character in Oracle of Seasons. ",FALSE,,review,review,
Innkeeper,Hylian,Male,The Legend of Zelda: A Link to the Past,1992,1,The Legend of Zelda: A Link to the Past,The Innkeeper is a character in A Link to the Past. ,FALSE,,review,review,
Isha,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Isha is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Island Chief,Anouki,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,The Island Chief is a character in Phantom Hourglass. ,FALSE,,review,review,
Ivan,Hylian,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Ivan is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Ivee,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Ivee is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Iza,Human,Female,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Iza is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Izra,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Izra is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Jan,Hylian,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Jan is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Jana,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jana is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Japas,Zora,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Japas is a character in Majora's Mask. ,TRUE,minimal_description,review,review,
Jasmine,Hylian,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Jasmine is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Jerrin,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jerrin is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Jeweller,Human,Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,The Jeweler is a characters in Freshly-Picked Tingle's Rosy Rupeeland. ,FALSE,,review,review,
Jiahto,Zora,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jiahto is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Jini,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jini is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Joanna,Hylian,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Joanna is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Joanne,,Female,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Joanne is a character in Phantom Hourglass. ,TRUE,no_race; minimal_description,review,review,
Joe,Hylian,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Joe is a character in Spirit Tracks. ,TRUE,minimal_description,review,review,
Jogo,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jogo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Jolene,Hylian,Female,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Jolene is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
Jora,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jora is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Jotari,Minish,,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Jotari is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Journalist,Human,,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,The Journalist is a character in Freshly-Picked Tingle's Rosy Rupeeland. ,FALSE,,review,review,
Joute,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Joute is a character in Breath of the Wild. He is a Horse enthusiast. ,FALSE,,review,review,
Jovani,Hylian,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Jovani is a character in Twilight Princess. ,TRUE,minimal_description,review,review,
Joynas,Hylian,Female,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Joynas is a character in Spirit Tracks. ,TRUE,minimal_description,review,review,
Juannelle,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Juannelle is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Judo,Hylian,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Judo is a character in Majora's Mask. ,TRUE,minimal_description,review,review,
Jules,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Jules is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Julietta,Hylian,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Julietta is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
June,Hylian,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,June is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Juney,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Juney is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kabetta,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kabetta is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kachoo,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kachoo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kagoron,Goron,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Kagoron is a Goron that appears in Spirit Tracks. ,FALSE,,review,review,
Kah Mael,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kah Mael is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kaifa,Hylian,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kaifa is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kalani,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kalani is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kamia Omuna,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kamia Omuna is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Kamo,,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Kamo is a character in The Wind Waker. ,TRUE,no_race; minimal_description,review,review,
Kampo,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kampo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kaneli,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kaneli is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kanny,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kanny is a character in Breath of the Wild. ,TRUE,no_race; minimal_description,review,review,
Kapson,Zora,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kapson is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Karin,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Karin is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Karson,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Karson is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kashiko,,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Kashiko is a character in The Wind Waker. ,TRUE,no_race; minimal_description,review,review,
Kass,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kass is a character of the Rito tribe in Breath of the Wild. ,FALSE,,review,review,
Katah Chuki,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Katah Chuki is a character in Breath of the Wild. ,FALSE,,review,review,
Katosa Aug,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Katosa Aug is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Katta,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Katta is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kayden,Zora,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kayden is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kayo,Cobble,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Kayo is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
Kaysa,Great Fairy,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kaysa is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kazul,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kazul is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kee Dafunia,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kee Dafunia is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Keeha Yoog,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Keeha Yoog is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Keeley,Hylian,Female,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Keeley is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Keive Tala,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Keive Tala is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Kema Kosassa,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kema Kosassa is a character in Breath of the Wild. ,FALSE,,review,review,
Kenyo,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kenyo is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kheel,Rito,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kheel is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Khini,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Khini is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kiana,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kiana is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kidoh,Human,,The Legend of Zelda: Link's Awakening,1993,1,The Legend of Zelda: Link's Awakening,Kidoh is a character in Link's Awakening. ,TRUE,minimal_description,review,review,
Kihiro Moh,Sheikah,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kihiro Moh is a character in Breath of the Wild. They appear exclusively in The Champions' Ballad DLC Pack. ,FALSE,,review,review,
Kima,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kima is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
King Dorephan,Zora,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,"King Dorephan is a character in Breath of the Wild. He is the ruler of the Zora, and the father of Mipha and Sidon. ",FALSE,,review,review,
King Mutoh,Cobble,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,King Mutoh is a character in Phantom Hourglass. ,TRUE,minimal_description,review,review,
King Tuft,Human,Male,The Legend of Zelda: Tri Force Heroes,2015,1,The Legend of Zelda: Tri Force Heroes,King Tuft is the monarch that presides over Hytopia in Tri Force Heroes. ,FALSE,,review,review,
Kish,Hylian,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kish is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Klaus,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Klaus is a character in The Minish Cap. ,TRUE,minimal_description,review,review,
Koboli,Rito,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Koboli is a character in The Wind Waker. ,TRUE,minimal_description,review,review,
Kodah,Zora,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kodah is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Kofu,Anouki,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Kofu is an Anouki in Spirit Tracks. He resides in Anouki Village in the Snow Realm. ,FALSE,,review,review,
